Measure,Year,TravelType,Reason,UNIT,Value
Number of Trips by Irish Residents,2000,Domestic,All reasons for journey,Thousand,5478.0
Number of Trips by Irish Residents,2000,Domestic,Holiday,Thousand,2516.0
Number of Trips by Irish Residents,2000,Domestic,Business,Thousand,554.0
Number of Trips by Irish Residents,2000,Domestic,Visiting friends/relatives,Thousand,1800.0
Number of Trips by Irish Residents,2000,Domestic,Other reasons,Thousand,607.0
Number of Trips by Irish Residents,2000,Outbound,All reasons for journey,Thousand,3768.0
Number of Trips by Irish Residents,2000,Outbound,Holiday,Thousand,2226.0
Number of Trips by Irish Residents,2000,Outbound,Business,Thousand,622.0
Number of Trips by Irish Residents,2000,Outbound,Visiting friends/relatives,Thousand,663.0
Number of Trips by Irish Residents,2000,Outbound,Other reasons,Thousand,257.0
Number of Trips by Irish Residents,2001,Domestic,All reasons for journey,Thousand,6307.0
Number of Trips by Irish Residents,2001,Domestic,Holiday,Thousand,2902.0
Number of Trips by Irish Residents,2001,Domestic,Business,Thousand,652.0
Number of Trips by Irish Residents,2001,Domestic,Visiting friends/relatives,Thousand,2063.0
Number of Trips by Irish Residents,2001,Domestic,Other reasons,Thousand,690.0
Number of Trips by Irish Residents,2001,Outbound,All reasons for journey,Thousand,4162.0
Number of Trips by Irish Residents,2001,Outbound,Holiday,Thousand,2569.0
Number of Trips by Irish Residents,2001,Outbound,Business,Thousand,638.0
Number of Trips by Irish Residents,2001,Outbound,Visiting friends/relatives,Thousand,704.0
Number of Trips by Irish Residents,2001,Outbound,Other reasons,Thousand,251.0
Number of Trips by Irish Residents,2002,Domestic,All reasons for journey,Thousand,6452.0
Number of Trips by Irish Residents,2002,Domestic,Holiday,Thousand,2819.0
Number of Trips by Irish Residents,2002,Domestic,Business,Thousand,583.0
Number of Trips by Irish Residents,2002,Domestic,Visiting friends/relatives,Thousand,2286.0
Number of Trips by Irish Residents,2002,Domestic,Other reasons,Thousand,763.0
Number of Trips by Irish Residents,2002,Outbound,All reasons for journey,Thousand,4597.0
Number of Trips by Irish Residents,2002,Outbound,Holiday,Thousand,2833.0
Number of Trips by Irish Residents,2002,Outbound,Business,Thousand,609.0
Number of Trips by Irish Residents,2002,Outbound,Visiting friends/relatives,Thousand,856.0
Number of Trips by Irish Residents,2002,Outbound,Other reasons,Thousand,299.0
Number of Trips by Irish Residents,2003,Domestic,All reasons for journey,Thousand,6657.0
Number of Trips by Irish Residents,2003,Domestic,Holiday,Thousand,2933.0
Number of Trips by Irish Residents,2003,Domestic,Business,Thousand,619.0
Number of Trips by Irish Residents,2003,Domestic,Visiting friends/relatives,Thousand,2291.0
Number of Trips by Irish Residents,2003,Domestic,Other reasons,Thousand,814.0
Number of Trips by Irish Residents,2003,Outbound,All reasons for journey,Thousand,4974.0
Number of Trips by Irish Residents,2003,Outbound,Holiday,Thousand,3162.0
Number of Trips by Irish Residents,2003,Outbound,Business,Thousand,621.0
Number of Trips by Irish Residents,2003,Outbound,Visiting friends/relatives,Thousand,876.0
Number of Trips by Irish Residents,2003,Outbound,Other reasons,Thousand,315.0
Number of Trips by Irish Residents,2004,Domestic,All reasons for journey,Thousand,7001.0
Number of Trips by Irish Residents,2004,Domestic,Holiday,Thousand,3142.0
Number of Trips by Irish Residents,2004,Domestic,Business,Thousand,624.0
Number of Trips by Irish Residents,2004,Domestic,Visiting friends/relatives,Thousand,2420.0
Number of Trips by Irish Residents,2004,Domestic,Other reasons,Thousand,815.0
Number of Trips by Irish Residents,2004,Outbound,All reasons for journey,Thousand,5465.0
Number of Trips by Irish Residents,2004,Outbound,Holiday,Thousand,3472.0
Number of Trips by Irish Residents,2004,Outbound,Business,Thousand,684.0
Number of Trips by Irish Residents,2004,Outbound,Visiting friends/relatives,Thousand,985.0
Number of Trips by Irish Residents,2004,Outbound,Other reasons,Thousand,325.0
Number of Trips by Irish Residents,2005,Domestic,All reasons for journey,Thousand,7173.0
Number of Trips by Irish Residents,2005,Domestic,Holiday,Thousand,3348.0
Number of Trips by Irish Residents,2005,Domestic,Business,Thousand,770.0
Number of Trips by Irish Residents,2005,Domestic,Visiting friends/relatives,Thousand,2298.0
Number of Trips by Irish Residents,2005,Domestic,Other reasons,Thousand,757.0
Number of Trips by Irish Residents,2005,Outbound,All reasons for journey,Thousand,6189.0
Number of Trips by Irish Residents,2005,Outbound,Holiday,Thousand,3931.0
Number of Trips by Irish Residents,2005,Outbound,Business,Thousand,791.0
Number of Trips by Irish Residents,2005,Outbound,Visiting friends/relatives,Thousand,1118.0
Number of Trips by Irish Residents,2005,Outbound,Other reasons,Thousand,351.0
Number of Trips by Irish Residents,2006,Domestic,All reasons for journey,Thousand,7310.0
Number of Trips by Irish Residents,2006,Domestic,Holiday,Thousand,3827.0
Number of Trips by Irish Residents,2006,Domestic,Business,Thousand,761.0
Number of Trips by Irish Residents,2006,Domestic,Visiting friends/relatives,Thousand,2254.0
Number of Trips by Irish Residents,2006,Domestic,Other reasons,Thousand,468.0
Number of Trips by Irish Residents,2006,Outbound,All reasons for journey,Thousand,6981.0
Number of Trips by Irish Residents,2006,Outbound,Holiday,Thousand,4612.0
Number of Trips by Irish Residents,2006,Outbound,Business,Thousand,783.0
Number of Trips by Irish Residents,2006,Outbound,Visiting friends/relatives,Thousand,1317.0
Number of Trips by Irish Residents,2006,Outbound,Other reasons,Thousand,268.0
Number of Trips by Irish Residents,2007,Domestic,All reasons for journey,Thousand,7942.0
Number of Trips by Irish Residents,2007,Domestic,Holiday,Thousand,4271.0
Number of Trips by Irish Residents,2007,Domestic,Business,Thousand,711.0
Number of Trips by Irish Residents,2007,Domestic,Visiting friends/relatives,Thousand,2420.0
Number of Trips by Irish Residents,2007,Domestic,Other reasons,Thousand,541.0
Number of Trips by Irish Residents,2007,Outbound,All reasons for journey,Thousand,7830.0
